protocol_number,criterion_type,criterion_text,category,is_required,sort_order,parsed_json,created_at,updated_at
AR882-301,exclusion,"7. Participants that have moderately impaired hepatic function (Child-Pugh Class B) or advanced hepatic dysfunction (Child-Pugh Class C), or participants that are recipients of a liver transplant.",other,f,0,"{""text"": ""7. Participants that have moderately impaired hepatic function (Child-Pugh Class B) or advanced hepatic dysfunction (Child-Pugh Class C), or participants that are recipients of a liver transplant."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:02.272186
AR882-301,exclusion,8. Positive serology to human immunodeficiency virus ([HIV]; HIV1 and HIV2) with a confirmatory positive HIV assay and/or hepatitis C virus (HCV) antibodies with a confirmatory positive HCV RNA and/or hepatitis B surface antigen.,other,f,0,"{""text"": ""8. Positive serology to human immunodeficiency virus ([HIV]; HIV1 and HIV2) with a confirmatory positive HIV assay and/or hepatitis C virus (HCV) antibodies with a confirmatory positive HCV RNA and/or hepatitis B surface antigen."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:02.949986
AR882-301,exclusion,"9. Malignancy within 5 years, except for basal or squamous cell carcinoma of the skin that has been successfully treated. Participants with a history of other malignancies that have been treated with curative intent at least 3 years 
  before Screening with no recurrence may also be eligible if approved by the Sponsor Medical Monitor (or designee).",other,f,0,"{""text"": ""9. Malignancy within 5 years, except for basal or squamous cell carcinoma of the skin that has been successfully treated. Participants with a history of other malignancies that have been treated with curative intent at least 3 years \n  before Screening with no recurrence may also be eligible if approved by the Sponsor Medical Monitor (or designee)."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:06.367464
AR882-301,exclusion,"10. History of complete heart block, QTc prolongation, Torsades de pointes, or any family history of congenital QT interval prolongation syndrome.",other,f,0,"{""text"": ""10. History of complete heart block, QTc prolongation, Torsades de pointes, or any family history of congenital QT interval prolongation syndrome."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:08.030449
AR882-301,exclusion,"11. History within 6 months before Screening and/or presence of substance use disorders including alcohol use disorder as defined by the Diagnostic and Statistical Manual of Mental Disorders, fifth edition.",medical,f,0,"{""text"": ""11. History within 6 months before Screening and/or presence of substance use disorders including alcohol use disorder as defined by the Diagnostic and Statistical Manual of Mental Disorders, fifth edition."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:11.370161
AR882-301,exclusion,"12. History of severe allergic reaction (e.g., anaphylaxis) to a food, drug, chemical, or natural substance.",other,t,0,"{""text"": ""12. History of severe allergic reaction (e.g., anaphylaxis) to a food, drug, chemical, or natural substance."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:56.824987
AR882-301,exclusion,"13. Uncontrolled hypertension (e.g., systolic pressure > 160 mm Hg, or diastolic pressure > 95 mm Hg on repeated measures).",other,f,0,"{""field"": ""diagnosis"", ""value"": ""hypertension""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:13.813089
AR882-301,exclusion,14. QT corrected for heart rate according to Fridericia (QTcF) interval > 450 msec (males) or > 480 msec (females) at Screening.,other,f,0,"{""text"": ""14. QT corrected for heart rate according to Fridericia (QTcF) interval > 450 msec (males) or > 480 msec (females) at Screening."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:15.885729
AR882-301,exclusion,15. Any use of concomitant medications that have a moderate or high risk of prolonging the QT/QTc interval within 14 days before Day 1.,other,f,0,"{""text"": ""15. Any use of concomitant medications that have a moderate or high risk of prolonging the QT/QTc interval within 14 days before Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.001419
AR882-301,exclusion,16. Participants requiring long-term use of high-dose salicylates (> 1g/day) will be excluded.,other,f,0,"{""text"": ""16. Participants requiring long-term use of high-dose salicylates (> 1g/day) will be excluded."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.931647
AR882-301,exclusion,17. Participants requiring or taking warfarin will be excluded.,other,f,0,"{""text"": ""17. Participants requiring or taking warfarin will be excluded."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.868446
AR882-301,exclusion,18. Received any vaccinations (including coronavirus disease-2019 and influenza) within 14 days before dosing on Day 1.,other,f,0,"{""text"": ""18. Received any vaccinations (including coronavirus disease-2019 and influenza) within 14 days before dosing on Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.067268
AR882-301,exclusion,19. Received pegloticase or rasburicase within the 3 months before Screening.,other,f,0,"{""text"": ""19. Received pegloticase or rasburicase within the 3 months before Screening."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.348426
AR882-301,exclusion,"20. Previously dosed with AR882 or previously received an IP, investigational biological agent, or investigational device within 3 months or 5 half-lives of the IP, whichever is longer.",demographic,f,0,"{""text"": ""20. Previously dosed with AR882 or previously received an IP, investigational biological agent, or investigational device within 3 months or 5 half-lives of the IP, whichever is longer."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.720971
AR882-301,exclusion,21. Safety laboratory abnormality values considered clinically significant by the Investigator.,laboratory,f,0,"{""text"": ""21. Safety laboratory abnormality values considered clinically significant by the Investigator."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.137779
AR882-301,exclusion,"22. Positive test for drugs of abuse (cocaine, methamphetamine, amphetamine, benzodiazepines, methadone, barbiturates, or opiates) at Screening. Participants with positive test(s) for amphetamines, barbiturates, benzodiazepines, or 
  opiates who present documentation of a valid prescription for the respective drug will be permitted if the prescription is deemed acceptable by the Investigator.",laboratory,f,0,"{""text"": ""22. Positive test for drugs of abuse (cocaine, methamphetamine, amphetamine, benzodiazepines, methadone, barbiturates, or opiates) at Screening. Participants with positive test(s) for amphetamines, barbiturates, benzodiazepines, or \n  opiates who present documentation of a valid prescription for the respective drug will be permitted if the prescription is deemed acceptable by the Investigator."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.216474
AR882-301,exclusion,23. Inadequate venous access or unsuitable veins for repeated venipuncture in the opinion of the Investigator.,other,f,0,"{""text"": ""23. Inadequate venous access or unsuitable veins for repeated venipuncture in the opinion of the Investigator."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.280374
AR882-301,exclusion,24. Any acute illness within 1 week of Day 1 or active infection within 2 weeks of Day 1.,other,f,0,"{""text"": ""24. Any acute illness within 1 week of Day 1 or active infection within 2 weeks of Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.436126
AR882-301,exclusion,25. Had major surgery within 3 months of Day 1.,other,f,0,"{""text"": ""25. Had major surgery within 3 months of Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.290993
AR882-301,exclusion,"26. Donated whole blood within 8 weeks before Day 1 or donated plasma within 4 weeks before Screening. Participants must agree to refrain from donation of blood, fluids, and other tissue throughout the treatment period until 12 weeks
   after receiving the last dose of IP.",other,f,0,"{""text"": ""26. Donated whole blood within 8 weeks before Day 1 or donated plasma within 4 weeks before Screening. Participants must agree to refrain from donation of blood, fluids, and other tissue throughout the treatment period until 12 weeks\n   after receiving the last dose of IP."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.787814
AR882-301,exclusion,27. Clinically relevant intolerance or allergy to AR882 or is known or suspected to have hypersensitivity to benzbromarone and/or any ingredient in the study treatments.,other,f,0,"{""text"": ""27. Clinically relevant intolerance or allergy to AR882 or is known or suspected to have hypersensitivity to benzbromarone and/or any ingredient in the study treatments."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.661797
AR882-301,exclusion,"28. Is in a situation or with a condition that, in the opinion of the Investigator, may interfere with optimal participation in the study.",other,f,0,"{""text"": ""28. Is in a situation or with a condition that, in the opinion of the Investigator, may interfere with optimal participation in the study."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.577275
AR882-301,exclusion,29. Is involved in other clinical studies throughout the period of this study.,other,f,0,"{""text"": ""29. Is involved in other clinical studies throughout the period of this study."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.508036
AR882-301,exclusion,30. Is unable or unwilling to comply with study restrictions.,other,f,0,"{""text"": ""30. Is unable or unwilling to comply with study restrictions."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.655299
BXP-301,inclusion,"Subjects must: 1. Be willing and able to provide voluntary written informed consent and written authorization for use and disclosure of protected health information. • In the case of pediatric subjects, a parent or legally authorized representative (LAR) must provide written informed consent and sign the health information disclosure form. The child’s assent should also be obtained as required by the overseeing Institutional Review Board (IRB).",laboratory,f,0,,2025-07-25 16:21:05.142681,2025-07-28 19:38:47.735609
BXP-301,inclusion,"2. Be able and willing to fully comply with study procedures and restrictions. • For pediatric subjects, this requirement applies to the parent or LAR.",study_procedures,f,0,,2025-07-25 16:21:05.192329,2025-07-28 19:38:48.020665
BXP-301,inclusion,"3. If a woman of childbearing potential (WOCBP), have a negative urine pregnancy test (UPT) at Visit 1 and be willing to use approved contraception for the duration of the study. If a sexually active adult male with a female partner of childbearing potential, be willing to use approved contraception for the duration of the study. • Non-childbearing potential is defined as a female who is either premenarchal, postmenopausal (no menstrual periods for at least 12 consecutive months without another medical cause), or has undergone documented permanent sterilization, such as a bilateral oophorectomy, hysterectomy, or tubal ligation. • Approved forms of contraception include hormonal (i.e., oral, transdermal, implant, or injection); barrier (i.e., condom or diaphragm with spermicide); intrauterine device; vasectomized partner (6 months minimum); and abstinence.",demographics,f,0,,2025-07-25 16:21:05.229567,2025-07-28 19:38:47.879142
BXP-301,inclusion,"4. At Visit 1, have a clinical diagnosis of suspected bacterial conjunctivitis in at least 1 eye, confirmed by the presence of the following minimal clinical signs and symptoms in that same eye: a. Clinical observation or solicited subject report of purulent or mucopurulent ocular discharge b. Grade ≥ 1 on the modified VBR conjunctival redness scale",laboratory,f,0,,2025-07-25 16:21:05.270849,2025-07-28 19:38:47.805461
BXP-301,inclusion,"5. Have received no ocular treatment for conjunctivitis, aside from eyelid hygiene, ≤14 days prior to Visit 1.",disease_specific,t,0,,2025-07-25 16:21:05.30943,2025-07-28 19:39:02.02258
BXP-301,inclusion,"6. Have a negative viral conjunctivitis (e.g., QuickVue® Adenoviral Conjunctivitis Test) test in both eyes ≤24 hours prior to Visit 1 or at Visit 1.",disease_specific,f,0,,2025-07-25 16:21:05.351141,2025-07-28 19:38:47.947424
BXP-301,inclusion,7. Be willing to discontinue use of cosmetics on the eyelids and eyelashes for the duration of the study.,study_procedures,f,0,,2025-07-25 16:21:05.396645,2025-07-28 19:38:48.105005
BXP-301,inclusion,8. Be willing to discontinue use of contact lenses for the duration of the study.,study_procedures,f,0,,2025-07-25 16:21:05.443852,2025-07-28 19:38:48.24668
BXP-301,exclusion,Subjects must not: 1. Be currently pregnant or lactating (WOCBP).,reproductive,f,0,,2025-07-25 16:21:05.480703,2025-07-28 19:38:47.595176
BXP-301,exclusion,2. Have participated in another clinical trial ≤30 days prior to Visit 1.,medical_history,f,0,,2025-07-25 16:21:05.519072,2025-07-28 19:38:48.179072
BXP-301,exclusion,3. Have received another experimental drug ≤90 days prior to Visit 1.,medical_history,f,0,,2025-07-25 16:21:05.566629,2025-07-28 19:38:48.600869
BXP-301,exclusion,4. Have a household member enrolled in this study.,study_procedures,f,0,,2025-07-25 16:21:05.607297,2025-07-28 19:38:48.31738
BXP-301,exclusion,"5. Have any known history of immunodeficiency disorder or known active conditions predisposing to immunodeficiency, such as human immunodeficiency virus, hepatitis B or C, evidence of active hepatitis A (anti-hepatitis A virus immunoglobulin M), or organ or bone marrow transplant.",disease_specific,t,0,,2025-07-25 16:21:05.658129,2025-07-28 19:39:32.697004
BXP-301,exclusion,6. Be blind or have monocular vision.,general,f,0,,2025-07-25 16:21:05.697996,2025-07-28 19:38:48.385461
BXP-301,exclusion,"7. Have a current or recurrent ocular or systemic disease that could affect study conduct, clinical or laboratory assessments, or the action, absorption, or disposition of the investigational product (IP), per the Investigator’s discretion.",laboratory,f,0,,2025-07-25 16:21:05.739294,2025-07-28 19:38:48.531215
BXP-301,exclusion,8. Have experienced signs and symptoms of bacterial conjunctivitis for >48 hours prior to Visit 1.,laboratory,t,0,,2025-07-25 16:21:05.777203,2025-07-28 19:39:38.123478
BXP-301,exclusion,9. Have a known hypersensitivity to or intolerance of benzalkonium chloride or other components of Fucithalmic or placebo.,general,f,0,,2025-07-25 16:21:05.814336,2025-07-28 19:38:48.807013
BXP-301,exclusion,"10. Have had a diagnosis of or clinical presentation consistent with non-infectious conjunctivitis or non-bacterial ocular infection (e.g., viral, fungal, acanthamoeba, or other parasitic) ≤30 days prior to Visit 1. • History of presumed seasonal or perennial allergic conjunctivitis signs/symptoms is not exclusionary.",laboratory,f,0,,2025-07-25 16:21:05.852794,2025-07-28 19:38:49.109074
BXP-301,exclusion,"11. Have and/or report any of the following at Visit 1: a. Trauma to the eye <3 months prior to Visit 1 or any history of ocular trauma that may affect study outcomes, in the opinion of the Investigator b. Photophobia in conjunction with severe ocular pain c. Blurred vision not cleared by rapid blinking d. Tender eye upon palpation e. Unequal and/or poorly reacting pupil, in the opinion of the Investigator f. White opacity on the cornea",medical_history,f,0,,2025-07-25 16:21:05.891348,2025-07-28 19:38:49.034711
BXP-301,exclusion,12. Have nasolacrimal duct obstruction or punctal plugs at Visit 1.,study_procedures,f,0,,2025-07-25 16:21:05.931972,2025-07-28 19:38:48.736914
BXP-301,exclusion,13. Have had ocular surgical intervention ≤6 months prior to Visit 1 or plans for such intervention during the study period.,medical_history,f,0,,2025-07-25 16:21:05.968736,2025-07-28 19:38:48.882868
BXP-301,exclusion,"14. Have a history of recurrent corneal erosion syndrome, either idiopathic or secondary to previous corneal trauma or dry eye syndrome.",disease_specific,f,0,,2025-07-25 16:21:06.005552,2025-07-28 19:38:48.955366
BXP-301,exclusion,15. Have an active case or a history of ocular herpes.,medical_history,f,0,,2025-07-25 16:21:06.045494,2025-07-28 19:38:49.246174
BXP-301,exclusion,"16. Have used any of the following treatments within the specified timeframe. Use during the study is also prohibited. a. Cyclosporine eye drops ≤7 days prior to Visit 1 b. Ocular, periocular, or systemic antibiotics ≤14 days prior to Visit 1. At Visit 1, systemic antibiotic use may be permitted if deemed by the Investigator to be clinically necessary to treat a sexually transmitted disease. c. Ocular, periocular, or systemic corticosteroids ≤14 days prior to Visit 1. Stable use (initiated ≥30 days prior to Visit 1) of inhaled and nasal corticosteroids is allowed, given no anticipated change in dose for the duration of the study. Topical dermal steroids are allowed except in the periocular area. d. Topical or systemic non-steroidal immunosuppressive agents ≤14 days prior to Visit 1 e. Topical ocular non-steroidal anti-inflammatory drugs (NSAIDs) ≤14 days prior to Visit 1 f. Topical ophthalmic products, including tear substitutes and over-the-counter (OTC) preparations such as eyelid scrubs, ≤2 hours prior to Visit 1",demographics,f,0,,2025-07-25 16:21:06.083782,2025-07-28 19:38:49.176353
BXP-301,exclusion,17. Be an employee of or immediate family member of an employee (directly related to study conduct) at the investigational site.,study_procedures,f,0,,2025-07-25 16:21:06.123617,2025-07-28 19:38:49.388908
BXP-301,exclusion,"18. Be unsuited for participation in the study for any other reason, per the Investigator’s discretion.",study_procedures,f,0,,2025-07-25 16:21:06.159572,2025-07-28 19:38:49.317376
BXP-301,exclusion,"19. Have recent history (≤6 months) of blepharitis defined by symptoms of routine sticky, crusty or red eyes upon waking.",laboratory,f,0,,2025-07-25 16:21:06.198406,2025-07-28 19:38:49.461279
C3671058,inclusion,Male and female participants ≥50 years of age at the time of consent.,demographic,t,0,"{""text"": ""Male and female participants ≥50 years of age at the time of consent."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-04-11 13:31:26.170235
C3671058,inclusion,"Participants who are ambulatory and live in the community, or in assisted living or long-term care residential facilities that provide minimal assistance, such that the participant is primarily responsible for self-care and activities of daily living (ADLs).",other,f,0,"{""text"": ""Participants who are ambulatory and live in the community, or in assisted living or long-term care residential facilities that provide minimal assistance, such that the participant is primarily responsible for self-care and activities of daily living (ADLs)."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:11:59.365007
C3671058,inclusion,"Participants who are willing and able to comply with scheduled visits, laboratory tests, lifestyle considerations, and other study procedures, including daily completion of the e-diary for 7 days after each study vaccination.",laboratory,f,0,"{""text"": ""Participants who are willing and able to comply with scheduled visits, laboratory tests, lifestyle considerations, and other study procedures, including daily completion of the e-diary for 7 days after each study vaccination."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:00.18981
C3671058,inclusion,"Participants who are determined by medical history, physical examination (if required), and clinical judgement of the investigator to be eligible for inclusion in the study.",other,f,0,"{""text"": ""Participants who are determined by medical history, physical examination (if required), and clinical judgement of the investigator to be eligible for inclusion in the study."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:03.178751
C3671058,inclusion,"Capable of giving signed informed consent as described in the protocol, which includes compliance with the requirements and restrictions listed in the informed consent document (ICD) and in this protocol.",other,f,0,"{""text"": ""Capable of giving signed informed consent as described in the protocol, which includes compliance with the requirements and restrictions listed in the informed consent document (ICD) and in this protocol."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:04.367552
C3671058,exclusion,Current clinically suspected or polymerase chain reaction (PCR)–confirmed ongoing episode of HZ and/or history of clinically suspected or PCR-confirmed HZ within the past 12 months.,other,t,0,"{""text"": ""Current clinically suspected or polymerase chain reaction (PCR)–confirmed ongoing episode of HZ and/or history of clinically suspected or PCR-confirmed HZ within the past 12 months."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-04-11 13:31:10.984483
C3671058,exclusion,"History of severe adverse reaction associated with a vaccine and/or severe allergic reaction (eg, anaphylaxis) to any component of the study intervention or any related vaccine.",other,t,0,"{""text"": ""History of severe adverse reaction associated with a vaccine and/or severe allergic reaction (eg, anaphylaxis) to any component of the study intervention or any related vaccine."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-04-11 13:31:10.984483
C3671058,exclusion,Prior history of any subtype of Guillain Barré syndrome of any etiology.,other,f,0,"{""text"": ""Prior history of any subtype of Guillain Barré syndrome of any etiology."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:10.870189
C3671058,exclusion,"Serious chronic disorder, including metastatic malignancy, end-stage renal disease with or without dialysis, clinically unstable cardiac disease, or any other disorder that, in the investigator’s opinion, excludes the participant from participating in the study.",demographic,f,0,"{""text"": ""Serious chronic disorder, including metastatic malignancy, end-stage renal disease with or without dialysis, clinically unstable cardiac disease, or any other disorder that, in the investigator’s opinion, excludes the participant from participating in the study."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:11.938941
C3671058,exclusion,"Immunocompromised individuals with known or suspected immunodeficiency, as determined by history and/or laboratory/physical examination.",laboratory,f,0,"{""text"": ""Immunocompromised individuals with known or suspected immunodeficiency, as determined by history and/or laboratory/physical examination."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:15.188955
C3671058,exclusion,Current use of any prohibited concomitant medication(s) or those unwilling/unable to use a permitted concomitant medication(s).,other,f,0,"{""text"": ""Current use of any prohibited concomitant medication(s) or those unwilling/unable to use a permitted concomitant medication(s)."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-07-25 16:12:19.820228
C3671058,exclusion,"Previous vaccination with any licensed or investigational RSV vaccine at any time prior to enrollment, or planned receipt of a nonstudy RSV vaccine during study participation.",other,t,0,"{""text"": ""Previous vaccination with any licensed or investigational RSV vaccine at any time prior to enrollment, or planned receipt of a nonstudy RSV vaccine during study participation."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-04-11 13:31:10.984483
C3671058,exclusion,"Previous vaccination with any licensed recombinant adjuvant zoster vaccine (Shingrix) at any time prior to enrollment, or planned receipt of a nonstudy licensed VZV vaccine during study participation.",other,t,0,"{""text"": ""Previous vaccination with any licensed recombinant adjuvant zoster vaccine (Shingrix) at any time prior to enrollment, or planned receipt of a nonstudy licensed VZV vaccine during study participation."", ""field"": ""unparsed""}",2025-04-05 14:41:19.664537,2025-04-11 13:31:10.984483
CIN-102-123,inclusion,Is a male or female ≥18 years of age,demographic,t,0,"{""text"": ""Is a male or female ≥18 years of age"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:36:06.082661
CIN-102-123,inclusion,"Has a diagnosis of Type 1 or Type 2 diabetes, according to the American Diabetes Association criteria",medical,t,0,"{""field"": ""diagnosis"", ""value"": ""diabetes""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:45.23562
CIN-102-123,inclusion,Has a current diagnosis of diabetic gastroparesis defined by persistent gastrointestinal symptoms consistent with gastroparesis and documented delayed gastric emptying,medical,f,0,"{""text"": ""Has a current diagnosis of diabetic gastroparesis defined by persistent gastrointestinal symptoms consistent with gastroparesis and documented delayed gastric emptying"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:35.533055
CIN-102-123,inclusion,"Has a body mass index between 18 and 49 kg/m2, inclusive, at Screening",other,t,0,"{""text"": ""Has a body mass index between 18 and 49 kg/m2, inclusive, at Screening"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:50.18307
